TreatmentCode;Treatment;Nconc (%);Bio;Rep;Day_1;Day;Length;Leaves;SPAD;Dualex NBI;Dualex Chl;Dualex Flav;Dualex Anth;SFW;SDW;RFW;RDW;File;Date;Time;Leaf;Roi Mask;Roi.Xc;Roi.Yc;dFv/Fm;s.d.;F0;s.d.;Fj;s.d.;Fi;s.d.;Fm;s.d.;1-Fj/Fm;s.d.;1-Fi/Fm;s.d.;Fv/Fm;s.d.;IC-Area;s.d.;IC-Area/Fv;s.d.;PI;s.d.;Fv/fm I (px);Fv/fm I (%);Fv/fm II (px);Fv/fm II (%);Fv/fm III (px);Fv/fm III (%);Fv/fm IV (px);Fv/fm IV (%);Fv/fm V (px);Fv/fm V (%);dFq/Fm;s.d.;Fs';s.d.;Fm';s.d.;Fq'/Fm';s.d.;ETR;s.d.;Fq'/fm' I (px);Fq'/fm' I (%);Fq'/fm' II (px);Fq'/fm' II (%);Fq'/fm' III (px);Fq'/fm' III (%);Fq'/fm' IV (px);Fq'/fm' IV (%);Fq'/fm' V (px);Fq'/fm' V (%);Etr I (px);Etr I (%);Etr II (px);Etr II (%);Etr III (px);Etr III (%);Etr IV (px);Etr IV (%);Etr V (px);Etr V (%);dRfd;s.d.;RfdFm;s.d.;RfdFt;s.d.;Rfd;s.d.;Rfd I (px);Rfd I (%);Rfd II (px);Rfd II (%);Rfd III (px);Rfd III (%);Rfd IV (px);Rfd IV (%);Rfd V (px);Rfd V (%);NPQ;s.d.;Npq I (px);Npq I (%);Npq II (px);Npq II (%);Npq III (px);Npq III (%);Npq IV (px);Npq IV (%);Npq V (px);Npq V (%);Red;s.d.;Green;s.d.;Blue;s.d.;Hue;s.d.;Saturation;s.d.;Value;s.d.;RGB I (px);RGB I (%);RGB II (px);RGB II (%);RGB III (px);RGB III (%);RGB IV (px);RGB IV (%);RGB V (px);RGB V (%);Hue I (px);Hue I (%);Hue II (px);Hue II (%);Hue III (px);Hue III (%);Hue IV (px);Hue IV (%);Hue V (px);Hue V (%);SpcGrn;s.d.;FarRed;s.d.;Nir;s.d.;ChlIdx;s.d.;AriIdx;s.d.;NDVI;s.d.;ChlIdx I (px);ChlIdx I (%);ChlIdx II (px);ChlIdx II (%);ChlIdx III (px);ChlIdx III (%);ChlIdx IV (px);ChlIdx IV (%);ChlIdx V (px);ChlIdx V (%);AriIdx I (px);AriIdx I (%);AriIdx II (px);AriIdx II (%);AriIdx III (px);AriIdx III (%);AriIdx IV (px);AriIdx IV (%);AriIdx V (px);AriIdx V (%);NDVI I (px);NDVI I (%);NDVI II (px);NDVI II (%);NDVI III (px);NDVI III (%);NDVI IV (px);NDVI IV (%);NDVI V (px);NDVI V (%);dGfp;s.d.;Gfp;s.d.;Auto;s.d.;cGfp;s.d.;MaskGfp;nObjGfp;nObjSize;s.d.;Gfp I (px);Gfp I (%);Gfp II (px);Gfp II (%);Gfp III (px);Gfp III (%);Gfp IV (px);Gfp IV (%);Gfp V (px);Gfp V (%);dRfp;s.d.;Rfp;s.d.;MaskRfp;nObjRfp;nObjSize;s.d.;Rfp I (px);Rfp I (%);Rfp II (px);Rfp II (%);Rfp III (px);Rfp III (%);Rfp IV (px);Rfp IV (%);Rfp V (px);Rfp V (%);dChl;s.d.;Chl;s.d.;Chl I (px);Chl I (%);Chl II (px);Chl II (%);Chl III (px);Chl III (%);Chl IV (px);Chl IV (%);Chl V (px);Chl V (%)
90N_01;90N;90;0;1;14;Day 14;33.2;4;36.9;100.9;39.1;0.39;0.09;/;/;/;/;HDR_E5702P0001N0001.INF;20210309;11:09;1;8913;1641;881;29;44;494;261;0;0;0;0;2146;743;0;0;0;0;0.769;0.108;0;0;0;0;0;0;8;0.1;14;0.2;83;0.9;759;8.5;4579;51.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;937;299;1425;373;914;274;121.1;27.3;0.408;0.116;0.022;0.006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1753;456;2025;548;6909;1614;2.497;0.637;0.615;0.604;0.148;0.206;1793;20.1;6987;78.4;133;1.5;0;0;0;0;8706;97.7;190;2.1;13;0.1;3;0;1;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;59;746;320;8913;100;0;0;0;0;0;0;0;0
90N_01;90N;90;0;1;14;Day 14;33.2;4;36.9;100.9;39.1;0.39;0.09;/;/;/;/;HDR_E5702P0001N0001.INF;20210309;11:09;2;71202;793;1191;29;45;908;290;0;0;0;0;3496;687;0;0;0;0;0.738;0.08;0;0;0;0;0;0;59;0.1;49;0.1;363;0.5;6097;8.6;50518;71;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1299;363;2079;538;1105;297;110.3;15.3;0.473;0.104;0.032;0.008;178;0.2;0;0;15;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2667;668;3202;857;10814;1699;2.477;0.583;0.704;0.448;0.29;0.331;13348;18.7;57568;80.9;286;0.4;0;0;0;0;70595;99.1;607;0.9;0;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;59;1375;369;67318;94.5;3884;5.5;0;0;0;0;0;0
90N_01;90N;90;0;1;14;Day 14;33.2;4;36.9;100.9;39.1;0.39;0.09;/;/;/;/;HDR_E5702P0001N0001.INF;20210309;11:09;3;52691;395;914;26;43;647;281;0;0;0;0;2386;646;0;0;0;0;0.724;0.115;0;0;0;0;0;0;100;0.2;149;0.3;1093;2.1;8982;17;29645;56.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1326;688;2182;840;1057;490;108;13.4;0.53;0.103;0.033;0.013;0;0;0;0;1715;3.3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2800;900;3310;979;10251;1727;2.211;0.627;0.64;0.456;0.19;0.266;18319;34.8;34248;65;124;0.2;0;0;0;0;52240;99.1;450;0.9;1;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;35;57;969;328;52328;99.3;363;0.7;0;0;0;0;0;0
90N_01;90N;90;0;1;14;Day 14;33.2;4;36.9;100.9;39.1;0.39;0.09;/;/;/;/;HDR_E5702P0001N0001.INF;20210309;11:09;4;50987;326;1100;27;44;923;423;0;0;0;0;3390;1083;0;0;0;0;0.732;0.083;0;0;0;0;0;0;23;0;22;0;133;0.3;5612;11;35606;69.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1803;592;3164;946;1103;356;100.5;8.9;0.647;0.085;0.048;0.014;3180;6.2;0;0;142;0.3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4119;1173;5107;1511;12572;3130;1.516;0.35;0.6;0.301;0.442;0.331;47009;92.2;3976;7.8;2;0;0;0;0;0;50939;99.9;48;0.1;0;0;0;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37;59;1596;665;37427;73.4;13559;26.6;1;0;0;0;0;0
0N_01;0N;0;0;1;14;Day 14;19.6;4;30.8;77.4;22.9;0.3;0.17;/;/;/;/;HDR_E5702P0002N0001.INF;20210309;11:13;All;198354;918;898;74;71;730;350;0;0;0;0;3272;1021;0;0;0;0;0.778;0.091;0;0;0;0;0;0;444;0.2;208;0.1;547;0.3;6907;3.5;112974;57;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1644;855;2489;1037;1234;532;104.9;27.3;0.507;0.134;0.038;0.016;1002;0.5;11;0;4021;2;41;0;11;0;44;0;4;0;15;0;12;0;10;0;3033;1164;4080;1639;10770;2830;1.81;0.651;0.984;1.134;0.152;0.18;129600;65.3;68372;34.5;382;0.2;0;0;0;0;187246;94.4;6354;3.2;1838;0.9;1402;0.7;760;0.4;5992332;100;372;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;59;1319;569;173745;87.6;24603;12.4;6;0;0;0;0;0
0N_01;0N;0;0;1;14;Day 14;19.6;4;30.8;77.4;22.9;0.3;0.17;/;/;/;/;HDR_E5702P0002N0001.INF;20210309;11:13;1;14822;1611;1072;75;71;585;285;0;0;0;0;2530;838;0;0;0;0;0.766;0.11;0;0;0;0;0;0;59;0.4;30;0.2;112;0.8;1077;7.3;8129;54.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1686;483;2137;503;1489;323;110.7;41.3;0.344;0.121;0.034;0.007;0;0;0;0;16;0.1;0;0;0;0;6;0;0;0;1;0;1;0;1;0;2426;600;3306;816;9100;1773;1.82;0.476;1.155;1.525;0.195;0.247;9431;63.6;5390;36.4;1;0;0;0;0;0;13377;90.3;589;4;324;2.2;358;2.4;135;0.9;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;39;59;958;354;14796;99.8;26;0.2;0;0;0;0;0;0
0N_01;0N;0;0;1;14;Day 14;19.6;4;30.8;77.4;22.9;0.3;0.17;/;/;/;/;HDR_E5702P0002N0001.INF;20210309;11:13;2;48108;1123;710;76;71;683;283;0;0;0;0;3148;854;0;0;0;0;0.781;0.092;0;0;0;0;0;0;159;0.3;48;0.1;124;0.3;1431;3;26540;55.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1409;463;2150;491;1289;406;114.1;19.6;0.425;0.098;0.033;0.008;0;0;11;0;16;0;0;0;11;0;2;0;0;0;0;0;0;0;0;0;2645;537;3090;676;10204;1952;2.375;0.608;0.576;0.42;0.161;0.238;11676;24.3;36251;75.4;181;0.4;0;0;0;0;47981;99.7;126;0.3;0;0;1;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1134;341;48092;100;16;0;0;0;0;0;0;0
0N_01;0N;0;0;1;14;Day 14;19.6;4;30.8;77.4;22.9;0.3;0.17;/;/;/;/;HDR_E5702P0002N0001.INF;20210309;11:13;3;35975;806;1168;74;70;730;327;0;0;0;0;3264;1050;0;0;0;0;0.774;0.099;0;0;0;0;0;0;168;0.5;93;0.3;167;0.5;1180;3.3;20982;58.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1259;393;2026;544;1022;328;107.8;18.5;0.502;0.11;0.031;0.008;0;0;0;0;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2529;658;3107;889;9476;2109;2.16;0.626;0.717;0.562;0.155;0.235;14683;40.8;21096;58.6;196;0.5;0;0;0;0;35047;97.4;856;2.4;66;0.2;6;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;58;1228;446;34899;97;1076;3;0;0;0;0;0;0
0N_01;0N;0;0;1;14;Day 14;19.6;4;30.8;77.4;22.9;0.3;0.17;/;/;/;/;HDR_E5702P0002N0001.INF;20210309;11:13;4;76361;523;841;71;70;723;337;0;0;0;0;3370;918;0;0;0;0;0.789;0.079;0;0;0;0;0;0;30;0;21;0;65;0.1;1802;2.4;41358;54.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1492;512;2578;743;1033;342;103.5;11.1;0.597;0.097;0.039;0.011;533;0.7;0;0;846;1.1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3279;861;4520;1014;10882;1953;1.45;0.347;0.962;0.423;0.294;0.317;71993;94.3;4367;5.7;1;0;0;0;0;0;75516;98.9;844;1.1;0;0;1;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;37;59;1461;619;59967;78.5;16391;21.5;3;0;0;0;0;0
25N_B_01;25N_B;25;1;1;14;Day 14;18;4;34.3;67.8;29.1;0.43;0.13;/;/;/;/;HDR_E5702P0003N0001.INF;20210309;11:15;All;126595;1116;1002;65;67;977;383;0;0;0;0;2978;859;0;0;0;0;0.66;0.136;0;0;0;0;0;0;425;0.3;1050;0.8;10698;8.5;39435;31.2;57598;45.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1351;541;2103;595;1089;377;107.3;25.8;0.495;0.114;0.032;0.009;1;0;0;0;1041;0.8;1;0;0;0;21;0;0;0;1;0;2;0;5;0;2622;676;3636;951;10632;2062;2.001;0.515;1.218;0.99;0.154;0.172;60984;48.2;65525;51.8;86;0.1;0;0;0;0;115686;91.4;8053;6.4;1705;1.3;633;0.5;248;0.2;5992065;100;639;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1551;507;102020;80.6;24575;19.4;0;0;0;0;0;0
25N_B_01;25N_B;25;1;1;14;Day 14;18;4;34.3;67.8;29.1;0.43;0.13;/;/;/;/;HDR_E5702P0003N0001.INF;20210309;11:15;1;10435;1722;951;66;68;640;296;0;0;0;0;2900;925;0;0;0;0;0.778;0.094;0;0;0;0;0;0;16;0.2;10;0.1;55;0.5;491;4.7;5632;54;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1055;335;1614;403;1063;319;126.2;29.3;0.404;0.135;0.025;0.006;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1983;516;2459;692;8249;2026;2.425;0.591;0.863;0.704;0.257;0.287;2136;20.5;8233;78.9;66;0.6;0;0;0;0;9755;93.5;660;6.3;14;0.1;4;0;1;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;58;1035;388;10427;99.9;8;0.1;0;0;0;0;0;0
25N_B_01;25N_B;25;1;1;14;Day 14;18;4;34.3;67.8;29.1;0.43;0.13;/;/;/;/;HDR_E5702P0003N0001.INF;20210309;11:15;2;38033;1261;1136;66;67;944;329;0;0;0;0;3578;861;0;0;0;0;0.73;0.099;0;0;0;0;0;0;115;0.3;82;0.2;408;1.1;4689;12.3;24797;65.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1311;383;2049;458;1138;331;110.5;22.4;0.46;0.098;0.031;0.007;0;0;0;0;9;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;2562;534;3480;628;10667;1843;2.096;0.44;1.169;0.762;0.143;0.221;14801;38.9;23221;61.1;11;0;0;0;0;0;35473;93.3;2121;5.6;271;0.7;121;0.3;38;0.1;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41;61;1583;430;32160;84.6;5873;15.4;0;0;0;0;0;0
25N_B_01;25N_B;25;1;1;14;Day 14;18;4;34.3;67.8;29.1;0.43;0.13;/;/;/;/;HDR_E5702P0003N0001.INF;20210309;11:15;3;69586;874;931;64;66;1064;396;0;0;0;0;2681;674;0;0;0;0;0.599;0.13;0;0;0;0;0;0;291;0.4;952;1.4;10099;14.5;32421;46.6;21764;31.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1291;410;2150;480;1015;311;107.2;16.2;0.533;0.102;0.033;0.007;0;0;0;0;53;0.1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2739;528;3722;729;10864;1769;1.965;0.468;1.086;0.485;0.232;0.296;36104;51.9;33474;48.1;8;0;0;0;0;0;66896;96.1;2683;3.9;6;0;1;0;0;0;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1651;507;51106;73.4;18480;26.6;0;0;0;0;0;0
0N_02;0N;0;0;2;14;Day 14;10.6;3;30.7;84.6;30.1;0.36;0.15;/;/;/;/;HDR_E5702P0004N0001.INF;20210309;11:17;All;65328;1396;899;68;68;770;313;0;0;0;0;3064;930;0;0;0;0;0.747;0.092;0;0;0;0;0;0;75;0.1;96;0.1;427;0.7;5378;8.2;43012;65.8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1938;392;2590;661;1514;387;100.2;46.7;0.437;0.117;0.041;0.008;4;0;1;0;190;0.3;3;0;1;0;76;0.1;18;0;29;0;28;0;32;0;3043;895;4184;884;10526;2064;1.543;0.347;1.378;2.219;0.145;0.156;59752;91.5;5576;8.5;0;0;0;0;0;0;54590;83.6;5405;8.3;1227;1.9;931;1.4;976;1.5;5992090;100;614;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1451;509;57197;87.6;8131;12.4;0;0;0;0;0;0
0N_02;0N;0;0;2;14;Day 14;10.6;3;30.7;84.6;30.1;0.36;0.15;/;/;/;/;HDR_E5702P0004N0001.INF;20210309;11:17;1;13044;1629;786;69;69;635;307;0;0;0;0;2411;811;0;0;0;0;0.735;0.115;0;0;0;0;0;0;36;0.3;36;0.3;217;1.7;1781;13.7;7505;57.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1774;429;2416;673;1238;272;92.8;32.9;0.477;0.116;0.037;0.01;4;0;0;0;91;0.7;3;0;0;0;8;0.1;0;0;0;0;1;0;1;0;2816;860;3761;702;9716;1850;1.609;0.384;1.077;1.016;0.239;0.266;11109;85.2;1935;14.8;0;0;0;0;0;0;11285;86.5;1467;11.2;245;1.9;36;0.3;10;0.1;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;41;61;1134;457;12738;97.7;306;2.3;0;0;0;0;0;0
0N_02;0N;0;0;2;14;Day 14;10.6;3;30.7;84.6;30.1;0.36;0.15;/;/;/;/;HDR_E5702P0004N0001.INF;20210309;11:17;2;49190;1305;930;68;68;829;291;0;0;0;0;3325;808;0;0;0;0;0.749;0.08;0;0;0;0;0;0;37;0.1;40;0.1;146;0.3;3172;6.4;34151;69.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1966;347;2733;521;1624;339;102.1;33.5;0.416;0.106;0.042;0.007;0;0;1;0;99;0.2;0;0;1;0;30;0.1;2;0;9;0;8;0;9;0;3239;716;4203;803;10707;2038;1.562;0.306;0.974;1.508;0.311;0.294;45556;92.6;3634;7.4;0;0;0;0;0;0;43334;88.1;3978;8.1;741;1.5;344;0.7;339;0.7;;;;;;;;;;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40;60;1586;446;41365;84.1;7825;15.9;0;0;0;0;0;0
50N_01;50N;50;0;1;14;Day 14;29.3;4;42.1;108.7;42.8;0.39;0.09;/;/;/;/;HDR_E5702P0005N0001.INF;20210309;11:18;All;239814;781;1398;63;66;782;346;0;0;0;0;3446;1057;0;0;0;0;0.774;0.08;0;0;0;0;0;0;134;0.1;98;0;566;0.2;8727;3.6;144824;60.4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1468;782;2126;831;1173;458;106.5;32.6;0.471;0.107;0.033;0.013;3;0;0;0;7131;3;16;0;0;0;66;0;9;0;22;0;15;0;21;0;2595;943;3830;1606;11820;3268;2.276;0.666;1.538;1.51;0.165;0.191;79870;33.3;158281;66;1658;0.7;5;0;0;0;195633;81.6;30348;12.7;6921;2.9;3321;1.4;1618;0.7;5991917;100;787;0;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;38;59;1350;531;211227;88.1;28586;11.9;1;0;0;0;0;0
